SRC_ADD,PKT_ID,TO_NODE,PKT_SIZE,NUMBER_OF_PKT,NUMBER_OF_BYTE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,PKT_CLASS,Timestamp
14,67455,22,60186,210,12639060,23.09,1389990.05,60186,HTTP-FLOOD,20/02/2018 12:13:56
16,66370,24,42146,210,8850660,23.04,971118.24,42146,HTTP-FLOOD,20/02/2018 01:19:02
9,16077,23,56068,210,11774280,23,1289680.08,56068,HTTP-FLOOD,20/02/2018 01:51:42
20,70155,25,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 08:51:30
5,30067,24,22268,210,4676280,23.11,514574.09,22268,HTTP-FLOOD,20/02/2018 11:26:55
5,64285,24,12442,210,2612820,23.11,287512.61,12442,HTTP-FLOOD,20/02/2018 04:23:14
6,40742,23,38857,210,8159970,23.08,896881.74,38857,HTTP-FLOOD,20/02/2018 03:30:04
15,65280,23,31694,210,6655740,23.07,731126.91,31694,HTTP-FLOOD,20/02/2018 03:36:09
1,8567,23,35246,210,7401660,23.22,818249.23,35246,HTTP-FLOOD,20/02/2018 04:30:14
19,41846,24,50553,210,10616130,22.97,1161073.33,50553,HTTP-FLOOD,3/7/2017 20:15
8,64288,23,23310,210,4895100,23.03,536794.75,23310,HTTP-FLOOD,20/02/2018 12:57:48
18,45122,24,26774,210,5622540,22.99,615503.96,26774,HTTP-FLOOD,20/02/2018 11:13:30
1,7475,23,65178,210,13687380,23.22,1513131.95,65178,HTTP-FLOOD,20/02/2018 02:59:38
12,19357,24,3037,210,637770,23.15,70301.38,3037,HTTP-FLOOD,20/02/2018 01:45:56
20,64310,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 08:50:26
18,12914,23,37042,210,7778820,22.99,851553.65,37042,HTTP-FLOOD,20/02/2018 01:35:06
20,77339,25,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 08:41:55
4,4306,24,63223,210,13276830,23.13,1462659.4,63223,HTTP-FLOOD,20/02/2018 03:45:05
13,13935,23,52325,210,10988250,23.12,1209836.18,52325,HTTP-FLOOD,20/02/2018 10:19:41
17,9675,23,29655,210,6227550,23.02,682518.35,29655,HTTP-FLOOD,20/02/2018 04:47:50
17,42937,24,24999,210,5249790,23.02,575359.18,24999,HTTP-FLOOD,3/7/2017 21:20
12,4314,22,39345,210,8262450,23.15,910769.71,39345,HTTP-FLOOD,20/02/2018 03:08:09
18,49391,22,11972,210,2514120,22.99,275222.73,11972,HTTP-FLOOD,20/02/2018 09:10:12
17,69636,23,28356,210,5954760,23.02,652621.5,28356,HTTP-FLOOD,20/02/2018 03:22:33
15,27893,22,32805,210,6889050,23.07,756755.8,32805,HTTP-FLOOD,20/02/2018 11:42:21
6,72786,24,52580,210,11041800,23.08,1213630.54,52580,HTTP-FLOOD,20/02/2018 09:12:55
13,1039,23,18103,210,3801630,23.12,418569.79,18103,HTTP-FLOOD,20/02/2018 11:01:03
8,49381,23,63825,210,13403250,23.03,1469795.14,63825,HTTP-FLOOD,20/02/2018 11:34:59
13,20345,23,50159,210,10533390,23.12,1159754.86,50159,HTTP-FLOOD,3/7/2017 23:51
19,53656,22,63826,210,13403460,22.97,1465920.25,63826,HTTP-FLOOD,20/02/2018 09:19:49
6,6,21,32771,210,6881910,23.08,756407.12,32771,HTTP-FLOOD,20/02/2018 04:20:56
9,20341,21,20424,210,4289040,23,469794.28,20424,HTTP-FLOOD,20/02/2018 10:46:28
2,11806,24,3618,210,759780,23.19,83895.99,3618,HTTP-FLOOD,20/02/2018 03:06:10
7,30069,21,55516,210,11658360,23.06,1279922.96,55516,HTTP-FLOOD,20/02/2018 08:56:10
7,61020,21,58473,210,12279330,23.06,1348096.68,58473,HTTP-FLOOD,20/02/2018 01:36:42
3,9661,21,44492,210,9343320,23.16,1030509.45,44492,HTTP-FLOOD,20/02/2018 04:44:52
2,59966,21,55204,210,11592840,23.19,1280097.84,55204,HTTP-FLOOD,20/02/2018 09:09:15
19,49392,24,31633,210,6642930,22.97,726529.24,31633,HTTP-FLOOD,20/02/2018 02:42:55
3,47187,24,48751,210,10237710,23.16,1129155.04,48751,HTTP-FLOOD,20/02/2018 03:55:40
9,51528,23,47280,210,9928800,23,1087537.88,47280,HTTP-FLOOD,20/02/2018 12:53:11
7,33240,21,14561,210,3057810,23.06,335704.27,14561,HTTP-FLOOD,20/02/2018 05:06:08
15,47199,22,27109,210,5692890,23.07,625358.73,27109,HTTP-FLOOD,20/02/2018 11:51:25
8,25768,23,21806,210,4579260,23.03,502159.86,21806,HTTP-FLOOD,20/02/2018 01:34:51
14,12910,22,35291,210,7411110,23.09,815042.35,35291,HTTP-FLOOD,20/02/2018 01:52:44
8,46100,23,46964,210,9862440,23.03,1081511.3,46964,HTTP-FLOOD,20/02/2018 02:39:51
18,27896,23,48095,210,10099950,22.99,1105649.61,48095,HTTP-FLOOD,3/7/2017 18:42
10,58885,22,62201,210,13062210,23.2,1443183.28,62201,HTTP-FLOOD,20/02/2018 11:15:21
13,53,22,52480,210,11020800,23.12,1213420.02,52480,HTTP-FLOOD,20/02/2018 01:46:23
9,9,24,22253,210,4673130,23,511865.07,22253,HTTP-FLOOD,20/02/2018 09:05:48
11,16079,22,42213,210,8864730,23.18,978289.69,42213,HTTP-FLOOD,20/02/2018 01:58:20
5,36477,21,18226,210,3827460,23.11,421170.62,18226,HTTP-FLOOD,20/02/2018 03:15:55
15,9673,23,8064,210,1693440,23.07,186022.83,8064,HTTP-FLOOD,20/02/2018 01:46:57
8,40744,21,56942,210,11957820,23.03,1311289.85,56942,HTTP-FLOOD,20/02/2018 03:10:32
14,11818,23,21615,210,4539150,23.09,499196.41,21615,HTTP-FLOOD,20/02/2018 04:22:42
18,30080,24,46688,210,9804480,22.99,1073304.28,46688,HTTP-FLOOD,20/02/2018 04:42:56
20,71347,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,4/7/2017 1:12
14,3224,23,36964,210,7762440,23.09,853680.13,36964,HTTP-FLOOD,20/02/2018 11:24:33
18,56791,24,49580,210,10411800,22.99,1139788.08,49580,HTTP-FLOOD,20/02/2018 10:39:59
9,58884,24,32718,210,6870780,23,752581.74,32718,HTTP-FLOOD,20/02/2018 04:54:18
14,26799,24,63068,210,13244280,23.09,1456549.57,63068,HTTP-FLOOD,20/02/2018 01:27:22
4,17164,24,16035,210,3367350,23.13,370968.53,16035,HTTP-FLOOD,20/02/2018 03:09:11
19,69638,24,7754,210,1628340,22.97,178089.58,7754,HTTP-FLOOD,20/02/2018 08:35:57
6,27884,24,1726,210,362460,23.08,39838.84,1726,HTTP-FLOOD,20/02/2018 10:13:15
2,25762,23,51381,210,10790010,23.19,1191448.21,51381,HTTP-FLOOD,20/02/2018 02:30:59
2,40738,24,35233,210,7398930,23.19,817000.35,35233,HTTP-FLOOD,3/7/2017 20:38
11,66365,23,64349,210,13513290,23.18,1491293.29,64349,HTTP-FLOOD,20/02/2018 05:08:35
16,38672,22,48977,210,10285170,23.04,1128516.54,48977,HTTP-FLOOD,20/02/2018 12:02:25
4,44015,24,23890,210,5016900,23.13,552693.37,23890,HTTP-FLOOD,20/02/2018 10:01:12
19,27897,22,24768,210,5201280,22.97,568857.72,24768,HTTP-FLOOD,20/02/2018 01:48:53
18,21443,24,41680,210,8752800,22.99,958176.02,41680,HTTP-FLOOD,20/02/2018 11:43:14
10,44021,22,5092,210,1069320,23.2,118144.23,5092,HTTP-FLOOD,20/02/2018 09:29:44
18,61031,23,59025,210,12395250,22.99,1356917.94,59025,HTTP-FLOOD,20/02/2018 12:12:22
15,19360,22,26569,210,5579490,23.07,612901.84,26569,HTTP-FLOOD,20/02/2018 02:26:49
20,64269,25,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 05:24:41
20,75842,25,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 10:11:38
19,33252,22,60983,210,12806430,22.97,1400623.8,60983,HTTP-FLOOD,20/02/2018 09:54:13
4,37567,24,38557,210,8096970,23.13,892013.33,38557,HTTP-FLOOD,20/02/2018 02:07:12
6,53643,23,15317,210,3216570,23.08,353540.87,15317,HTTP-FLOOD,20/02/2018 10:59:23
5,5361,24,22971,210,4823910,23.11,530819.17,22971,HTTP-FLOOD,20/02/2018 09:21:46
3,2121,24,44161,210,9273810,23.16,1022842.93,44161,HTTP-FLOOD,20/02/2018 11:53:38
7,67448,24,26400,210,5544000,23.06,608652.75,26400,HTTP-FLOOD,20/02/2018 08:38:08
19,39700,23,51353,210,10784130,22.97,1179447.29,51353,HTTP-FLOOD,20/02/2018 05:57:15
15,67456,23,28241,210,5930610,23.07,651472.05,28241,HTTP-FLOOD,20/02/2018 08:34:33
20,56985,25,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 03:21:50
17,34343,24,21861,210,4590810,23.02,503137.2,21861,HTTP-FLOOD,20/02/2018 01:27:56
18,44029,24,45766,210,9610860,22.99,1052108.54,45766,HTTP-FLOOD,20/02/2018 08:41:30
12,33245,24,12151,210,2551710,23.15,281274.95,12151,HTTP-FLOOD,20/02/2018 09:48:53
4,5360,24,24228,210,5087880,23.13,560512.98,24228,HTTP-FLOOD,20/02/2018 09:38:38
12,23621,23,6819,210,1431990,23.15,157848.23,6819,HTTP-FLOOD,20/02/2018 03:47:47
6,70676,23,40733,210,8553930,23.08,940182.82,40733,HTTP-FLOOD,20/02/2018 10:43:22
18,28987,24,57720,210,12121200,22.99,1326917.47,57720,HTTP-FLOOD,20/02/2018 12:34:00
10,22526,24,31149,210,6541290,23.2,722716.93,31149,HTTP-FLOOD,20/02/2018 08:58:27
11,27889,24,24707,210,5188470,23.18,572586.73,24707,HTTP-FLOOD,20/02/2018 02:48:06
8,32216,23,30021,210,6304410,23.03,691339.13,30021,HTTP-FLOOD,20/02/2018 09:14:06
9,13931,24,23120,210,4855200,23,531807.87,23120,HTTP-FLOOD,20/02/2018 10:34:14
14,36486,22,42189,210,8859690,23.09,974351.02,42189,HTTP-FLOOD,20/02/2018 11:48:44
13,25773,23,16677,210,3502170,23.12,385598.43,16677,HTTP-FLOOD,20/02/2018 02:36:55
4,8570,21,14659,210,3078390,23.13,339134.88,14659,HTTP-FLOOD,20/02/2018 02:39:49
11,53648,23,56286,210,11820060,23.18,1304432.61,56286,HTTP-FLOOD,20/02/2018 03:48:34
16,8582,23,19176,210,4026960,23.04,441848.89,19176,HTTP-FLOOD,20/02/2018 04:40:25
5,68535,24,4222,210,886620,23.11,97562.95,4222,HTTP-FLOOD,20/02/2018 05:24:04
19,59983,24,28260,210,5934600,22.97,649060.04,28260,HTTP-FLOOD,20/02/2018 02:08:07
18,50445,24,36265,210,7615650,22.99,833691.3,36265,HTTP-FLOOD,20/02/2018 04:48:30
3,39684,24,27893,210,5857530,23.16,646048.73,27893,HTTP-FLOOD,20/02/2018 04:01:47
8,5364,23,44274,210,9297540,23.03,1019564.59,44274,HTTP-FLOOD,20/02/2018 12:46:16
12,34338,23,49610,210,10418100,23.15,1148386.97,49610,HTTP-FLOOD,20/02/2018 10:23:03
17,68547,24,43807,210,9199470,23.02,1008230.71,43807,HTTP-FLOOD,20/02/2018 08:37:32
19,55802,23,1970,210,413700,22.97,45245.87,1970,HTTP-FLOOD,20/02/2018 11:41:46
13,13,22,14669,210,3080490,23.12,339170.32,14669,HTTP-FLOOD,20/02/2018 02:07:54
10,38666,23,60151,210,12631710,23.2,1395619.32,60151,HTTP-FLOOD,20/02/2018 09:28:41
16,56,24,23213,210,4874730,23.04,534868.5,23213,HTTP-FLOOD,20/02/2018 04:14:15
14,55797,22,34072,210,7155120,23.09,786889.66,34072,HTTP-FLOOD,20/02/2018 11:00:17
12,8578,22,11897,210,2498370,23.15,275395.28,11897,HTTP-FLOOD,20/02/2018 09:00:18
6,58881,23,1575,210,330750,23.08,36353.52,1575,HTTP-FLOOD,20/02/2018 04:10:47
4,47188,21,47978,210,10075380,23.13,1109967.46,47978,HTTP-FLOOD,20/02/2018 09:57:14
15,15029,24,48552,210,10195920,23.07,1120012.43,48552,HTTP-FLOOD,20/02/2018 04:06:41
9,15023,21,62924,210,13214040,23,1447382.27,62924,HTTP-FLOOD,20/02/2018 04:19:02
3,32211,23,16861,210,3540810,23.16,390529.08,16861,HTTP-FLOOD,20/02/2018 04:05:51
20,69479,25,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 02:47:01
16,17176,22,2506,210,526260,23.04,57742.66,2506,HTTP-FLOOD,20/02/2018 01:36:26
10,62112,24,23635,210,4963350,23.2,548377.63,23635,HTTP-FLOOD,20/02/2018 12:36:01
17,5373,24,51711,210,10859310,23.02,1190143.54,51711,HTTP-FLOOD,20/02/2018 01:29:18
16,6464,22,62757,210,13178970,23.04,1446032.07,62757,HTTP-FLOOD,20/02/2018 03:22:42
6,39687,23,39639,210,8324190,23.08,914931.55,39639,HTTP-FLOOD,20/02/2018 04:35:15
4,16072,21,1369,210,287490,23.13,31671.71,1369,HTTP-FLOOD,20/02/2018 10:20:30
18,71777,22,5993,210,1258530,22.99,137772.29,5993,HTTP-FLOOD,20/02/2018 10:49:14
16,31131,24,15757,210,3308970,23.04,363069.1,15757,HTTP-FLOOD,20/02/2018 01:56:50
6,68536,24,58204,210,12222840,23.08,1343441.46,58204,HTTP-FLOOD,20/02/2018 04:55:35
11,61024,22,51694,210,10855740,23.18,1198012.64,51694,HTTP-FLOOD,20/02/2018 03:08:01
9,23618,21,31762,210,6670020,23,730591.76,31762,HTTP-FLOOD,3/7/2017 19:11
6,25766,21,21112,210,4433520,23.08,487298.74,21112,HTTP-FLOOD,20/02/2018 01:26:27
11,32219,24,52882,210,11105220,23.18,1225544.63,52882,HTTP-FLOOD,20/02/2018 10:43:57
17,4319,22,18902,210,3969420,23.02,435034.97,18902,HTTP-FLOOD,20/02/2018 01:55:35
19,57873,24,4761,210,999810,22.97,109348.01,4761,HTTP-FLOOD,20/02/2018 11:13:00
8,49381,24,9216,210,1935360,23.03,212230.82,9216,HTTP-FLOOD,20/02/2018 04:38:44
12,67453,23,32611,210,6848310,23.15,754889.09,32611,HTTP-FLOOD,20/02/2018 08:36:05
12,12,23,61713,210,12959730,23.15,1428550.8,61713,HTTP-FLOOD,20/02/2018 12:13:32
15,15,24,38230,210,8028300,23.07,881901.36,38230,HTTP-FLOOD,20/02/2018 10:31:17
3,50430,21,56117,210,11784570,23.16,1299763.97,56117,HTTP-FLOOD,20/02/2018 11:33:01
14,3224,22,49029,210,10296090,23.09,1132320.18,49029,HTTP-FLOOD,20/02/2018 12:14:23
19,6467,24,50546,210,10614660,22.97,1160912.56,50546,HTTP-FLOOD,20/02/2018 03:13:41
4,11808,21,20111,210,4223310,23.13,465266.49,20111,HTTP-FLOOD,20/02/2018 11:25:14
17,12913,23,12409,210,2605890,23.02,285596.7,12409,HTTP-FLOOD,20/02/2018 11:53:04
3,40739,23,17319,210,3636990,23.16,401137.13,17319,HTTP-FLOOD,20/02/2018 09:58:41
17,57,22,1151,210,241710,23.02,26490.6,1151,HTTP-FLOOD,20/02/2018 09:31:40
9,72789,24,14501,210,3045210,23,333553.02,14501,HTTP-FLOOD,20/02/2018 10:34:53
18,25778,23,18271,210,3836910,22.99,420029.61,18271,HTTP-FLOOD,20/02/2018 12:27:55
1,4303,21,3951,210,829710,23.22,91723.96,3951,HTTP-FLOOD,20/02/2018 11:16:37
19,36491,24,8494,210,1783740,22.97,195085.49,8494,HTTP-FLOOD,20/02/2018 12:56:06
20,73532,23,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 02:15:19
3,69622,21,47100,210,9891000,23.16,1090915.11,47100,HTTP-FLOOD,20/02/2018 03:41:42
16,72796,23,53716,210,11280360,23.04,1237711.47,53716,HTTP-FLOOD,20/02/2018 09:40:12
8,61021,23,60993,210,12808530,23.03,1404578.38,60993,HTTP-FLOOD,20/02/2018 04:08:35
7,36479,21,57431,210,12060510,23.06,1324073.34,57431,HTTP-FLOOD,20/02/2018 02:46:47
16,50443,22,32375,210,6798750,23.04,745977.15,32375,HTTP-FLOOD,20/02/2018 10:02:32
6,45110,24,30464,210,6397440,23.08,703157.87,30464,HTTP-FLOOD,20/02/2018 11:23:37
16,5372,23,34897,210,7328370,23.04,804088.49,34897,HTTP-FLOOD,20/02/2018 01:04:20
11,58886,24,20183,210,4238430,23.18,467742.66,20183,HTTP-FLOOD,20/02/2018 10:19:31
2,69621,24,43641,210,9164610,23.19,1011969.24,43641,HTTP-FLOOD,20/02/2018 03:56:08
3,67444,24,56309,210,11824890,23.16,1304211.01,56309,HTTP-FLOOD,20/02/2018 10:49:08
5,40741,21,34295,210,7201950,23.11,792496.78,34295,HTTP-FLOOD,20/02/2018 08:32:18
14,5370,23,54113,210,11363730,23.09,1249734.68,54113,HTTP-FLOOD,20/02/2018 01:01:12
11,51530,24,57978,210,12175380,23.18,1343644.85,57978,HTTP-FLOOD,20/02/2018 11:49:54
13,10725,23,45244,210,9501240,23.12,1046112.34,45244,HTTP-FLOOD,20/02/2018 04:22:26
12,34338,24,46744,210,9816240,23.15,1082043.96,46744,HTTP-FLOOD,20/02/2018 09:12:48
12,64292,23,57265,210,12025650,23.15,1325587.18,57265,HTTP-FLOOD,20/02/2018 02:28:48
7,36479,24,31297,210,6572370,23.06,721553.22,31297,HTTP-FLOOD,20/02/2018 10:27:35
6,56779,23,50838,210,10675980,23.08,1173422.4,50838,HTTP-FLOOD,20/02/2018 10:07:31
15,36487,22,7535,210,1582350,23.07,173819.69,7535,HTTP-FLOOD,20/02/2018 11:06:26
3,13925,24,21949,210,4609290,23.16,508375.7,21949,HTTP-FLOOD,20/02/2018 11:55:19
3,22519,23,41239,210,8660190,23.16,955164.5,41239,HTTP-FLOOD,20/02/2018 10:26:03
19,54748,22,40452,210,8494920,22.97,929079.15,40452,HTTP-FLOOD,20/02/2018 02:53:15
19,13941,23,19892,210,4177320,22.97,456868.45,19892,HTTP-FLOOD,20/02/2018 03:28:37
20,77486,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 11:56:00
9,53646,24,24699,210,5186790,23,568128.13,24699,HTTP-FLOOD,20/02/2018 04:13:28
15,39696,23,63536,210,13342560,23.07,1465667.93,63536,HTTP-FLOOD,20/02/2018 11:18:22
20,78392,23,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 03:19:35
8,23617,24,27158,210,5703180,23.03,625408.48,27158,HTTP-FLOOD,20/02/2018 12:09:03
19,59983,23,12266,210,2575860,22.97,281718.7,12266,HTTP-FLOOD,20/02/2018 02:48:42
7,63198,24,21825,210,4583250,23.06,503175.99,21825,HTTP-FLOOD,20/02/2018 01:15:42
9,32217,21,8227,210,1727670,23,189238.03,8227,HTTP-FLOOD,20/02/2018 08:36:43
13,72793,23,19909,210,4180890,23.12,460327.35,19909,HTTP-FLOOD,20/02/2018 09:49:52
7,33240,23,55168,210,11585280,23.06,1271899.81,55168,HTTP-FLOOD,20/02/2018 01:00:21
8,48,23,50668,210,10640280,23.03,1166808.93,50668,HTTP-FLOOD,20/02/2018 12:28:03
18,4320,23,18056,210,3791760,22.99,415087,18056,HTTP-FLOOD,3/7/2017 21:32
17,66371,22,64976,210,13644960,23.02,1495441.33,64976,HTTP-FLOOD,20/02/2018 04:18:07
17,16085,24,20708,210,4348680,23.02,476600.58,20708,HTTP-FLOOD,20/02/2018 10:40:49
11,50438,24,12551,210,2635710,23.18,290870.44,12551,HTTP-FLOOD,3/7/2017 18:31
4,71763,21,37768,210,7931280,23.13,873759.87,37768,HTTP-FLOOD,20/02/2018 09:36:13
3,41830,23,24179,210,5077590,23.16,560026.25,24179,HTTP-FLOOD,20/02/2018 02:58:02
10,50437,22,55499,210,11654790,23.2,1287683.94,55499,HTTP-FLOOD,3/7/2017 18:00
12,55795,22,42880,210,9004800,23.15,992598.94,42880,HTTP-FLOOD,20/02/2018 04:13:30
14,40750,22,39715,210,8340150,23.09,917214.22,39715,HTTP-FLOOD,20/02/2018 05:11:33
12,36484,22,20324,210,4268040,23.15,470465.97,20324,HTTP-FLOOD,20/02/2018 09:45:53
5,21430,24,5879,210,1234590,23.11,135853.29,5879,HTTP-FLOOD,20/02/2018 04:44:19
2,25762,21,14339,210,3011190,23.19,332499.87,14339,HTTP-FLOOD,20/02/2018 11:27:18
6,8572,21,4678,210,982380,23.08,107975.73,4678,HTTP-FLOOD,20/02/2018 09:00:56
12,35391,23,17440,210,3662400,23.15,403706.28,17440,HTTP-FLOOD,20/02/2018 03:04:36
14,64294,24,59960,210,12591600,23.09,1384770.6,59960,HTTP-FLOOD,20/02/2018 11:04:27
12,2130,22,52613,210,11048730,23.15,1217901.31,52613,HTTP-FLOOD,20/02/2018 08:38:22
18,45122,22,34879,210,7324590,22.99,801828.73,34879,HTTP-FLOOD,20/02/2018 09:21:25
19,15033,23,12330,210,2589300,22.97,283188.62,12330,HTTP-FLOOD,20/02/2018 11:51:20
2,44013,24,12973,210,2724330,23.19,300824.38,12973,HTTP-FLOOD,20/02/2018 04:48:14
19,18271,23,52889,210,11106690,22.97,1214725.28,52889,HTTP-FLOOD,20/02/2018 11:35:50
1,9659,23,16470,210,3458700,23.22,382357.29,16470,HTTP-FLOOD,20/02/2018 02:01:08
6,45110,23,20492,210,4303320,23.08,472988.15,20492,HTTP-FLOOD,20/02/2018 04:38:58
13,62115,22,57739,210,12125190,23.12,1335016.36,57739,HTTP-FLOOD,20/02/2018 12:17:32
2,32210,23,42970,210,9023700,23.19,996409.76,42970,HTTP-FLOOD,20/02/2018 11:40:42
11,61024,24,41421,210,8698410,23.18,959935.03,41421,HTTP-FLOOD,20/02/2018 03:38:52
2,61015,23,35923,210,7543830,23.19,833000.41,35923,HTTP-FLOOD,20/02/2018 03:48:29
20,56635,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 05:28:18
20,59604,23,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 05:04:58
16,63207,22,4275,210,897750,23.04,98503.55,4275,HTTP-FLOOD,20/02/2018 03:43:59
5,39686,23,35884,210,7535640,23.11,829215.76,35884,HTTP-FLOOD,20/02/2018 11:50:40
1,66355,23,58664,210,12319440,23.22,1361906.97,58664,HTTP-FLOOD,20/02/2018 04:45:52
9,49382,21,35119,210,7374990,23,807809.71,35119,HTTP-FLOOD,20/02/2018 02:22:23
15,48291,23,19469,210,4088490,23.07,449116.86,19469,HTTP-FLOOD,20/02/2018 03:08:15
11,55794,22,53967,210,11333070,23.18,1250689.6,53967,HTTP-FLOOD,20/02/2018 12:10:11
4,31119,21,16649,210,3496290,23.13,385173.38,16649,HTTP-FLOOD,20/02/2018 10:41:55
9,56782,21,23947,210,5028870,23,550830.58,23947,HTTP-FLOOD,20/02/2018 04:27:27
10,8576,22,64391,210,13522110,23.2,1493995.51,64391,HTTP-FLOOD,20/02/2018 02:04:03
4,67445,21,17602,210,3696420,23.13,407220.96,17602,HTTP-FLOOD,20/02/2018 11:21:46
8,56781,23,46535,210,9772350,23.03,1071632.07,46535,HTTP-FLOOD,20/02/2018 11:03:30
20,66004,25,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 01:29:13
1,46093,23,56414,210,11846940,23.22,1309672.37,56414,HTTP-FLOOD,20/02/2018 10:50:54
7,56780,24,1531,210,321510,23.06,35297.25,1531,HTTP-FLOOD,20/02/2018 05:08:39
15,18267,23,27244,210,5721240,23.07,628472.95,27244,HTTP-FLOOD,20/02/2018 05:02:57
11,6459,23,45015,210,9453150,23.18,1043226.27,45015,HTTP-FLOOD,3/7/2017 18:17
18,36490,23,41576,210,8730960,22.99,955785.18,41576,HTTP-FLOOD,3/7/2017 18:43
20,67466,23,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 12:32:01
19,50446,23,56296,210,11822160,22.97,1292975.37,56296,HTTP-FLOOD,20/02/2018 03:56:31
3,71762,24,19680,210,4132800,23.16,455821.85,19680,HTTP-FLOOD,20/02/2018 12:27:31
15,58890,24,20371,210,4277910,23.07,469924.48,20371,HTTP-FLOOD,20/02/2018 12:21:01
16,10728,23,1727,210,362670,23.04,39793.13,1727,HTTP-FLOOD,20/02/2018 05:07:14
20,69001,23,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 08:37:51
8,23617,21,32569,210,6839490,23.03,750015.79,32569,HTTP-FLOOD,20/02/2018 01:10:56
20,58539,25,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 03:51:15
11,36483,23,56538,210,11872980,23.18,1310272.73,56538,HTTP-FLOOD,3/7/2017 20:07
13,33246,23,11217,210,2355570,23.12,259354.66,11217,HTTP-FLOOD,20/02/2018 11:49:33
15,35394,24,42766,210,8980860,23.07,986539.2,42766,HTTP-FLOOD,20/02/2018 03:13:27
3,51522,21,63963,210,13432230,23.16,1481490.51,63963,HTTP-FLOOD,20/02/2018 11:33:24
18,65283,24,58950,210,12379500,22.99,1355193.78,58950,HTTP-FLOOD,20/02/2018 09:39:21
6,39687,21,5193,210,1090530,23.08,119862.75,5193,HTTP-FLOOD,20/02/2018 12:29:11
8,11812,23,64074,210,13455540,23.03,1475529.24,64074,HTTP-FLOOD,20/02/2018 01:59:16
18,55801,22,59623,210,12520830,22.99,1370665.29,59623,HTTP-FLOOD,20/02/2018 04:42:16
9,57863,24,62617,210,13149570,23,1440320.64,62617,HTTP-FLOOD,20/02/2018 10:02:59
8,66362,24,19648,210,4126080,23.03,452464.31,19648,HTTP-FLOOD,4/7/2017 1:16
7,35386,23,56424,210,11849040,23.06,1300856.92,56424,HTTP-FLOOD,20/02/2018 03:54:09
1,44012,21,57376,210,12048960,23.22,1332005.56,57376,HTTP-FLOOD,20/02/2018 12:05:39
2,17162,24,37026,210,7775460,23.19,858577.33,37026,HTTP-FLOOD,20/02/2018 09:27:13
14,51533,22,50995,210,10708950,23.09,1177724.77,50995,HTTP-FLOOD,20/02/2018 02:54:50
9,41836,23,8164,210,1714440,23,187788.9,8164,HTTP-FLOOD,20/02/2018 12:48:53
19,30081,22,23987,210,5037270,22.97,550920.14,23987,HTTP-FLOOD,20/02/2018 03:44:20
13,50440,22,23133,210,4857930,23.12,534871.29,23133,HTTP-FLOOD,20/02/2018 11:34:30
13,70683,23,16213,210,3404730,23.12,374870.02,16213,HTTP-FLOOD,20/02/2018 05:12:22
12,30074,22,6788,210,1425480,23.15,157130.63,6788,HTTP-FLOOD,20/02/2018 02:29:30
2,58877,24,36391,210,7642110,23.19,843852.63,36391,HTTP-FLOOD,20/02/2018 08:58:43
6,48282,23,57403,210,12054630,23.08,1324953.1,57403,HTTP-FLOOD,20/02/2018 09:12:04
17,71776,24,61080,210,12826800,23.02,1405773.77,61080,HTTP-FLOOD,20/02/2018 01:48:19
19,68549,22,21956,210,4610760,22.97,504273.26,21956,HTTP-FLOOD,20/02/2018 10:42:25
11,11815,24,40378,210,8479380,23.18,935763.42,40378,HTTP-FLOOD,20/02/2018 12:05:51
17,65282,24,44890,210,9426900,23.02,1033156.26,44890,HTTP-FLOOD,20/02/2018 01:43:18
9,20341,24,3050,210,640500,23,70156.31,3050,HTTP-FLOOD,20/02/2018 01:24:24
6,37569,24,43801,210,9198210,23.08,1010997.17,43801,HTTP-FLOOD,20/02/2018 03:53:34
11,18263,22,52045,210,10929450,23.18,1206147.09,52045,HTTP-FLOOD,20/02/2018 09:11:45
3,67444,23,2186,210,459060,23.16,50631.43,2186,HTTP-FLOOD,20/02/2018 01:15:39
6,24711,21,40127,210,8426670,23.08,926195.37,40127,HTTP-FLOOD,20/02/2018 09:23:05
